Net Present Value (Invest),Net Present Value(Maintain),Net Present Value (Sell)
-229,-44,-309
-257,-16,1100
1089,799,345
681,-383,628
-475,682,605
-248,319,858
-371,649,160
-104,264,1064
-332,1240,532
344,19,417
-169,1029,1061
464,1056,459
781,164,121
950,136,223
-233,-184,-547
225,1231,66
855,-241,-245
257,-275,-80
571,42,347
450,-38,647
-371,-410,300
1131,-338,407
692,1091,68
1098,-420,226
799,770,1080
1247,850,1048
551,195,-179
-244,488,869
280,240,-304
701,298,232
-145,237,615
352,437,1102
-18,164,854
193,-366,1165
157,418,-528
988,-332,1215
1216,1186,-107
607,-519,296
255,998,-243
422,-526,54
599,-108,1033
1125,-28,499
-335,-209,-241
697,389,-453
719,-14,-533
-67,694,-68
598,194,-409
687,906,1173
191,709,702
1165,511,818
